 Iter;  Train score;    Remaining;                           Monitor Output 
    1;       0.2688;    10988.97m;      C:      0.1231 B:      0.1231 S:  0
    2;       0.3730;    11296.71m;      C:      0.2223 B:      0.2223 S:  0
    3;       0.4225;    11343.55m;      C:      0.2762 B:      0.2762 S:  0
    4;       0.4285;    11356.08m;      C:      0.2860 B:      0.2860 S:  0
    5;       0.4414;    11328.46m;      C:      0.2976 B:      0.2976 S:  0
    6;       0.4468;    11308.99m;      C:      0.2924 B:      0.2976 S:  1
    7;       0.4476;    11287.68m;      C:      0.2954 B:      0.2976 S:  2
    8;       0.4518;    11266.81m;      C:      0.2967 B:      0.2976 S:  3
    9;       0.4549;    11261.06m;      C:      0.3012 B:      0.3012 S:  0
   10;       0.4555;    11255.95m;      C:      0.3028 B:      0.3028 S:  0
   15;       0.4657;    11235.36m;      C:      0.3273 B:      0.3273 S:  0
   20;       0.4673;    11219.54m;      C:      0.3404 B:      0.3404 S:  0
   25;       0.4717;    11179.16m;      C:      0.3451 B:      0.3451 S:  0
   30;       0.4756;    11146.05m;      C:      0.3646 B:      0.3646 S:  0
   35;       0.4793;    11122.15m;      C:      0.3708 B:      0.3708 S:  0
   40;       0.4825;    11098.50m;      C:      0.3766 B:      0.3766 S:  0
   45;       0.4851;    11079.32m;      C:      0.3874 B:      0.3874 S:  0
   50;       0.4875;    11040.33m;      C:      0.3916 B:      0.3916 S:  0
   60;       0.4910;    10968.93m;      C:      0.3949 B:      0.3952 S:  2
   70;       0.4943;    10875.16m;      C:      0.4001 B:      0.4001 S:  0
   80;       0.4976;    10808.66m;      C:      0.4058 B:      0.4058 S:  0
   90;       0.5001;    10741.80m;      C:      0.4094 B:      0.4094 S:  0
  100;       0.5029;    10664.18m;      C:      0.4121 B:      0.4122 S:  1
  120;       0.5092;    10528.24m;      C:      0.4197 B:      0.4197 S:  0
  140;       0.5155;    10373.81m;      C:      0.4237 B:      0.4239 S:  1
  160;       0.5214;    10226.28m;      C:      0.4293 B:      0.4293 S:  0

